180302-10:12:14 init success 
180302-10:12:14 remove /tmp/80 
180302-10:12:15 chattr /tmp/80 
180302-10:12:15 open /tmp/80 
180302-10:12:15 write /tmp/80 
180302-10:12:16 write /tmp/80 
180302-10:12:16 write /tmp/80 
180302-10:12:16 write /tmp/80 
180302-10:12:17 write /tmp/80 
180302-10:12:17 write /tmp/80 
180302-10:12:17 write /tmp/80 
180302-10:12:18 write /tmp/80 
180302-10:12:18 write /tmp/80 
180302-10:12:18 write /tmp/80 
180302-10:12:18 write /tmp/80 
180302-10:12:19 write /tmp/80 
180302-10:12:19 write /tmp/80 
180302-10:12:19 write /tmp/80 
180302-10:12:20 write /tmp/80 
180302-10:12:20 write /tmp/80 
180302-10:12:20 write /tmp/80 
180302-10:12:21 write /tmp/80 
180302-10:12:21 write /tmp/80 
180302-10:12:21 write /tmp/80 
180302-10:12:22 write /tmp/80 
180302-10:12:22 write /tmp/80 
180302-10:12:23 write /tmp/80 
180302-10:12:23 write /tmp/80 
180302-10:12:23 write /tmp/80 
180302-10:12:24 write /tmp/80 
180302-10:12:24 write /tmp/80 
180302-10:12:24 write /tmp/80 
180302-10:12:25 write /tmp/80 
180302-10:12:25 write /tmp/80 
180302-10:12:25 write /tmp/80 
180302-10:12:25 write /tmp/80 
180302-10:12:26 write /tmp/80 
180302-10:12:26 write /tmp/80 
180302-10:12:26 write /tmp/80 
180302-10:12:27 write /tmp/80 
180302-10:12:27 write /tmp/80 
180302-10:12:27 write /tmp/80 
180302-10:12:28 write /tmp/80 
180302-10:12:28 write /tmp/80 
180302-10:12:28 write /tmp/80 
180302-10:12:29 write /tmp/80 
180302-10:12:29 write /tmp/80 
180302-10:12:30 write /tmp/80 
180302-10:12:30 write /tmp/80 
180302-10:12:30 write /tmp/80 
180302-10:12:30 write /tmp/80 
180302-10:12:31 write /tmp/80 
180302-10:12:31 write /tmp/80 
180302-10:12:31 write /tmp/80 
180302-10:12:32 write /tmp/80 
180302-10:12:32 write /tmp/80 
180302-10:12:32 write /tmp/80 
180302-10:12:33 write /tmp/80 
180302-10:12:33 write /tmp/80 
180302-10:12:33 write /tmp/80 
180302-10:12:34 write /tmp/80 
180302-10:12:34 write /tmp/80 
180302-10:12:34 write /tmp/80 
180302-10:12:34 write /tmp/80 
180302-10:12:35 write /tmp/80 
180302-10:12:35 write /tmp/80 
180302-10:12:35 close /tmp/80 
