180302-05:00:47 login login successful 
180302-05:00:48 direct_request ori:(u'::1', 22832), dest:(u'ya.ru', 443) 
180302-05:27:14 direct_request ori:(u'::1', 17051), dest:(u'31.13.80.36', 443) 
180302-05:27:16 direct_request ori:(u'::1', 40864), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 48442), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 20667), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 17732), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 18820), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 13061), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 31566), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 28351), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 11795), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 13086), dest:(u'31.13.80.12', 443) 
180302-05:27:16 direct_request ori:(u'::1', 41452), dest:(u'31.13.80.12', 443) 
180302-05:27:18 direct_request ori:(u'::1', 45672), dest:(u'31.13.80.12', 443) 
180302-05:27:18 direct_request ori:(u'::1', 30652), dest:(u'31.13.80.36', 443) 
180302-05:27:18 direct_request ori:(u'::1', 18178), dest:(u'31.13.71.7', 443) 
180302-05:27:18 direct_request ori:(u'::1', 20421), dest:(u'31.13.71.7', 443) 
180302-05:27:18 direct_request ori:(u'::1', 38390), dest:(u'31.13.71.7', 443) 
180302-05:27:19 direct_request ori:(u'::1', 49460), dest:(u'31.13.80.12', 443) 
180302-05:27:19 direct_request ori:(u'::1', 30936), dest:(u'31.13.80.12', 443) 
180302-05:27:20 direct_request ori:(u'::1', 17977), dest:(u'31.13.80.36', 443) 
180302-05:27:22 direct_request ori:(u'::1', 18024), dest:(u'31.13.80.36', 443) 
180302-05:27:22 direct_request ori:(u'::1', 11723), dest:(u'31.13.80.12', 443) 
180302-05:27:22 direct_request ori:(u'::1', 22380), dest:(u'31.13.80.12', 443) 
180302-05:27:23 direct_request ori:(u'::1', 22395), dest:(u'31.13.80.12', 443) 
180302-05:27:23 direct_request ori:(u'::1', 10519), dest:(u'31.13.80.12', 443) 
