180305-15:33:02 login login successful 
180305-15:33:02 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:03 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:03 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:03 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:03 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:04 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:04 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:04 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'205.185.216.42', 443) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:05 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'62.210.139.229', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:06 direct_request ori:(u'0.0.0.0', 0), dest:(u'35.186.193.41', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'35.186.193.41', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.28.0.239', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'107.178.112.130', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:07 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:08 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'216.172.59.243', 80) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.88.224.232', 80) 
180305-15:33:09 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'95.211.229.247', 80) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.88.224.232', 443) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-15:33:10 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'205.185.216.42', 443) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'34.196.234.115', 80) 
180305-15:33:11 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:12 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'184.172.1.99', 80) 
180305-15:33:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-15:33:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-15:33:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:17 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.91', 443) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:18 direct_request ori:(u'0.0.0.0', 0), dest:(u'34.236.112.82', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'72.21.81.253', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:19 direct_request ori:(u'0.0.0.0', 0), dest:(u'107.154.249.85', 80) 
180305-15:33:22 login login successful 
180305-15:33:23 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-15:33:23 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:23 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:24 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:24 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:25 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:25 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:25 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:25 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:25 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:25 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:26 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:26 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:26 direct_request ori:(u'0.0.0.0', 0), dest:(u'208.111.171.129', 80) 
180305-15:33:26 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:26 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.101', 80) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:27 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-15:33:28 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.59.96.94', 80) 
180305-15:33:28 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-15:33:28 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.138', 80) 
180305-16:25:46 login login successful 
180305-16:25:46 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:25:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-16:25:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:47 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-16:25:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'23.235.244.227', 80) 
180305-16:25:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'173.239.53.17', 80) 
180305-16:25:48 direct_request ori:(u'0.0.0.0', 0), dest:(u'35.186.193.41', 80) 
180305-16:25:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-16:25:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'66.155.97.85', 80) 
180305-16:25:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'67.55.118.215', 80) 
180305-16:25:49 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.16', 80) 
180305-16:25:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.57.190.177', 80) 
180305-16:25:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:25:51 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:52 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-16:25:53 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.91', 443) 
180305-16:25:53 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.29.120.144', 80) 
180305-16:25:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'69.89.74.102', 80) 
180305-16:25:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'31.220.24.95', 80) 
180305-16:25:54 direct_request ori:(u'0.0.0.0', 0), dest:(u'104.25.226.6', 443) 
180305-16:25:55 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-16:25:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:25:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.91', 443) 
180305-16:25:56 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-16:25:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'54.192.7.56', 80) 
180305-16:25:57 direct_request ori:(u'0.0.0.0', 0), dest:(u'174.137.155.139', 80) 
180305-16:25:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'52.73.225.95', 80) 
180305-16:25:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.134.116.31', 80) 
180305-16:25:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'108.61.11.194', 80) 
180305-16:25:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'50.22.46.25', 80) 
180305-16:25:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'198.255.32.245', 80) 
180305-16:25:58 direct_request ori:(u'0.0.0.0', 0), dest:(u'23.235.244.227', 80) 
